name,id
"Community testing, Male, 25+",nZeFeH7q8P6
"Community testing, Male, <15",KbH4tNMtWNA
"Community testing, Transgender, 15-19",MHq3z7Ir3JG
"Community testing, Transgender, 20-24",Jq5IDcEKUbT
"Community testing, Transgender, 25+",nxhvLvckM4y
"Community testing, Transgender, <15",eW1rZfsgUEm
Condoms,OU1J2MC0Y5K
Cotrimoxazole 240mg/5ml suspension,cADXhHwFXxj
Counterpart Fund,PJgTjSw0lXc
"Counterpart Fund, KEMSA",QcW6rhcoqyk
DTG 10mg,z0oKBvjiv1j
Denominator,IvAYt3UEwDb
"Denominator, 5+",pcPGQypDyPO
"Denominator, <5",Jjq6Aa6ZsLp
"Denominator, Female",fIPA46hcmgH
"Denominator, Male",nWQC7r7owmE
"Denominator, Transgender",LuPSOAbzlF2
EID – Qualitative (Roche),R9Me0mmkA81
FBO - Christian,i2NjO95KmJE
FBO - Muslim,nnjwxPG7SN0
"Facility testing, Female, 15-19",Xz6SFn3JCKu
"Facility testing, Female, 20-24",gzKoxVDjUSG
"Facility testing, Female, 25+",dOiq7YOAAWz
"Facility testing, Female, <15",Ofjt9wxd5Tx
"Facility testing, Male, 15-19",V11MtgwqD98
"Facility testing, Male, 20-24",uoXN0nuHjIN
"Facility testing, Male, 25+",GEKEhYDJbRr
"Facility testing, Male, <15",BFptrz82WTu
"Facility testing, Transgender, 15-19",LxRdXLHNGdh
"Facility testing, Transgender, 20-24",dwMNPka71Us
"Facility testing, Transgender, 25+",v4y44rTxUdy
"Facility testing, Transgender, <15",LGM9mataUyo
Female,RzPrR9yrNi0
"Female, 15+",iVz0TQ4fkyo
"Female, 15+, Died",Z860itCUoAM
"Female, 15+, Lost to follow up",ofCHUOm6Zn4
"Female, 15+, Stopped treatment",Qz82mzRVLLu
"Female, 15-19",E2SlDh8U2dT
"Female, 20-24",sCwfVmoEGMK
"Female, 25+",p6cS95za6Dj
"Female, 25+",Vz0PZezjL7Z
"Female, <15",HkthIG6hwe9
"Female, <15",W8jlwkfnDyb
"Female, <15, Died",I7LQsoQHUl1
"Female, <15, Lost to follow up",mEb7uBhkGm2
"Female, <15, Stopped treatment",NAy0U4i1dw0
"Female, <25",RCD88piwk5m
"Female, Negative, 15+",ffOvaz4N2ii
"Female, Negative, <15",u5cEKBy3C7f
"Female, Not documented, 15+",IXfmwOdwsm7
"Female, Not documented, <15",sJe5Cy7d9Sx
"Female, Positive, 15+",PamfTbpxIp6
"Female, Positive, <15",UhHdOOfDbgi
Formal sector,R6ntFhEemSm
Global Fund,EKZeKVH3uDH
"Global Fund, KEMSA",jKXUOkMtk1U
HIV,gOPD20Nfx16
HIV,hjKaQHaJTIi
HIV,MoXfFn6MUXr
HTS Kits,GTbBqrKOYaE
Informal sector,SZexPHkudYF
KEN-H-KRCS,ugvkE8KjVMf
"KEN-H-KRCS, AMREF",uIondEgmpf1
"KEN-H-KRCS, DNMCP",sTyjq3QRggX
"KEN-H-KRCS, DNTLP",yPSRsOSUWPM
"KEN-H-KRCS, KRCS",knPdmy6VuaF
"KEN-H-KRCS, Kenyan AIDS NGOs Consortium",YQbTWopbEZh
"KEN-H-KRCS, NASCOP",tv6gv5LQVtJ
"KEN-H-KRCS, NSA",ldhLUlMapnz
"KEN-H-KRCS, NSDCC",vTewVZpx0x8
"KEN-H-KRCS, RSSH",RjY053boM6C
"KEN-H-KRCS, TNT",n4n3sxtkPWM
KEN-H-TNT,wHB8K8gRXUo
"KEN-H-TNT, AMREF",LYWHmS9JtLN
"KEN-H-TNT, DNMCP",W0C0linKIxc
"KEN-H-TNT, DNTLP",Q9GZNVMYcSd
"KEN-H-TNT, KRCS",tznwo827MRl
"KEN-H-TNT, NASCOP",OtGNMAMI9oF
"KEN-H-TNT, NSA",VzDT0mMFskY
"KEN-H-TNT, NSDCC",AFXJRdQtwCG
"KEN-H-TNT, RSSH",zzo7pHcvC48
"KEN-H-TNT, TNT",I7kh1UsuCIW
KEN-M-AMREF,gutyP1WPLOj
"KEN-M-AMREF, AMREF",TW0YM3muI5f
"KEN-M-AMREF, DNMCP",xR3nSp9o1vE
"KEN-M-AMREF, DNTLP",UBqMYVnvN6b
"KEN-M-AMREF, KRCS",nL3LCmmGyem
"KEN-M-AMREF, NASCOP",BjwcqH9mZXi
"KEN-M-AMREF, NSA",bzx6bTUIRIf
"KEN-M-AMREF, NSDCC",u95qLOKNsnY
"KEN-M-AMREF, RSSH",gFmnZOX4h43
"KEN-M-AMREF, TNT",xYvl6BfzT4X
"KEN-M-AMREF, Youth Fighting HIV & AIDS in Kenya (YOFAK)",xScHbXrdTNu
KEN-M-TNT,bGp3L1KQ4JE
"KEN-M-TNT, AMREF",rjjvNbgDd0E
"KEN-M-TNT, DNMCP",bvdoZwA6n2a
"KEN-M-TNT, DNTLP",jlrOMJfLlEd
"KEN-M-TNT, KRCS",Gf3iHKWm9T4
"KEN-M-TNT, NASCOP",TrymV8Fc9jE
"KEN-M-TNT, NSA",ALxyCcD4RLZ
"KEN-M-TNT, NSDCC",tmOkNzZBh58
"KEN-M-TNT, RSSH",y5buRD0z1t4
"KEN-M-TNT, TNT",DWWpjOtucef
KEN-T-AMREF,kQEPWJF0usa
KEN-T-AMREF [C19RM],h6VE02j0BVX
"KEN-T-AMREF, AMREF",FEPgJtUd99a
"KEN-T-AMREF, Ananda Marga Universal Relief Team (AMURT)",Coey47iIKGn
"KEN-T-AMREF, DNMCP",UkgSRq5iEZk
"KEN-T-AMREF, DNTLP",X173nkpHBKH
"KEN-T-AMREF, KRCS",Anfm9RVPOPv
"KEN-T-AMREF, Kenya Conference of Catholic Bishops (KCCB)",hgizcbDoVUR
"KEN-T-AMREF, NASCOP",YqiEjsbTpi6
"KEN-T-AMREF, NSA",gsvHhD28WhJ
"KEN-T-AMREF, NSDCC",L8GsuNnEY3K
"KEN-T-AMREF, RSSH",M1sHi2UQgth
"KEN-T-AMREF, TNT",rdUyziFLBCy
KEN-T-TNT,ACnzwhSiP22
"KEN-T-TNT, AMREF",HZloBpAIsCV
"KEN-T-TNT, DNMCP",aTZx1DkO8Fk
"KEN-T-TNT, DNTLP",VkLgcW09nRX
"KEN-T-TNT, HSSD",XTOSRLJvD4q
"KEN-T-TNT, KRCS",USRJ35UiBf9
"KEN-T-TNT, NASCOP",EJs4yjZwA3e
"KEN-T-TNT, NSA",opWwMIJVdjq
"KEN-T-TNT, NSDCC",JhdotnBGw3a
"KEN-T-TNT, RSSH",XJagczAd7Vx
"KEN-T-TNT, TNT",i6AC1RvCiTl
KRCS,iwvPTn8UswC
"KRCS, COVID-19",DvnNewNM10r
"KRCS, HIV",LM3IBgjgukg
"KRCS, Malaria",kPxLPgd855w
"KRCS, TB",LsJFAthenZF
Key population,JRn4ZQAWCjL
Kit 1,u1TpwqUo5or
Kit 2,n4nPxcDf48I
Late,A6MjTYqcCW2
Malaria,hd3fUt5TWXe
Malaria,nHrbnHohljA
Malaria,Qn0h0s9h5PV
Malaria: AL 12's,T1srw1EN6gq
Malaria: AL 18's,YyJYZqwCHza
Malaria: AL 24's,MTvISxcDzTf
Malaria: AL 6's,lk5k6hgtluW
Malaria: ARTESUNATE Injectable,gHrrBdqVsqw
Malaria: mRDT,uq5aOxLFHOC
Male,uTKHSd9nEan
"Male, 15+",ztVdnfkI3h7
"Male, 15+, Died",Jhctxxfbtli
"Male, 15+, Lost to follow up",i4fWB5Mt90L
"Male, 15+, Stopped treatment",ZGUd5f8tEKo
"Male, 15-19",s7ph8rAVZ3I
"Male, 20-24",dAu928jR6xX
"Male, 25+",okfiNq8JxSR
"Male, 25+",Rkc2R7GodSl
"Male, <15",HzWJDlg23xP
"Male, <15",wQkmRkLm6EH
"Male, <15, Died",RHa22UhCWtp
"Male, <15, Lost to follow up",tadHseVsoyX
"Male, <15, Stopped treatment",PJzUNK6nqgP
"Male, <25",jFAyHSrUOB9
"Male, Negative, 15+",ydO6GdU2IlX
"Male, Negative, <15",IGZaHJHch9j
"Male, Not documented, 15+",v3Tji2XGGdx
"Male, Not documented, <15",EXmBSadSbhC
"Male, Positive, 15+",TGrDyv9mW8f
"Male, Positive, <15",vOtTI2ckyER
Microscopy,uZBMeFj4P34
Migrants/ refugees/ IDPs,IexRbYXha8x
NGO,tjIKNMKg82n
NSP Kit 1,vqXub4ZRESp
NSP Kit 2,Lhv0ZhbVNkK
"NVP 50mg/5ml, 100 mls",rWhLTqSjp39
Negative,E19evmIFeTA
Not documented,oADaxYHCwt0
Numerator,rryJGvIjRU2
"Numerator, 5+",mc2anZayCn3
"Numerator, <5",flFd5lh0MET
"Numerator, Female",U7BeJtpJOcm
"Numerator, Male",IRX1tOC9qaq
"Numerator, Transgender",vyAGNMFZIYW
On time,i8Pj5kPYHJf
Other population group,aZNLyff9Bim
Positive,n5cA3Djn9Rp
Prisoners,pJoooIRUeg3
Private/non-governmental facilities,ky2khsYQOUy
Public health facilities,ANNbDtqqANp
Public/ government facilities ,mJpEK4IQQ3C
QPA-T-ECSA,MjTaIfBIICA
"QPA-T-ECSA, AMREF",UlqWAyyT6c1
"QPA-T-ECSA, DNMCP",Ps8A6tMTZ3U
"QPA-T-ECSA, DNTLP",lF1QHGX0RoZ
"QPA-T-ECSA, KRCS",JTb9Ze0EWGo
"QPA-T-ECSA, NASCOP",z9dui5D3XvT
"QPA-T-ECSA, NSA",q6vzgZ9Q8y6
"QPA-T-ECSA, NSDCC",afsbf02pbsp
"QPA-T-ECSA, RSSH",uK8wMmkKdRl
"QPA-T-ECSA, TNT",Y5qeR9r8aPU
QPA-T-IGAD,clY9HQGUEmQ
"QPA-T-IGAD, AMREF",qefAD9xqxYy
"QPA-T-IGAD, DNMCP",Eqq5XTSHUOd
"QPA-T-IGAD, DNTLP",jLWTbPfyrkF
"QPA-T-IGAD, Eagle Neema Self Help Group",euzlyvG27CE
"QPA-T-IGAD, KRCS",ahdXJziuef7
"QPA-T-IGAD, NASCOP",lsigjXNEoEv
"QPA-T-IGAD, NSA",CFnED4nnFg6
"QPA-T-IGAD, NSDCC",ePFRKyg6iOA
"QPA-T-IGAD, RSSH",uHBuBJ0M71b
"QPA-T-IGAD, TNT",GUxBUJtyTci
RTKs – Confirmatory Test,YqvAFTJhSQH
RTKs – Rapid Screening Test,T1pgNzfZdb4
Rapid diagnostic test,BHN9kCImHND
TB,LPrZtHqxCTU
TB,UJGd6E55rUv
TB,Vt8hXDpyyE1
TB: BBL  MGIT tubes,uAgCj5HaDHR
TB: Bedaquiline 100mg,ydChvCm7Jcl
TB: Clofazimine 100mg,WtMqZoA3oEP
TB: MDR TB Plus Kit,RJ0NoVdE0KQ
TB: MDR TB SL,sku7XzOIHsT
TB: Moxifloxacin 400mg,Wxq0XWL5weH
TB: RHZ/75/50/150 tabs,UyTGr79JQux
TB: TB Patient Pack,XbeKOmbZdIW
TB: Xpert Cartridges,Eo4GvMirJPH
TREASURY,jRFOaCR1zox
"TREASURY, COVID-19",RzbQncqz6og
"TREASURY, HIV",FsrswBXHBdJ
"TREASURY, Malaria",SOFotrXuTJP
"TREASURY, TB",bGMkIZQ8orN
Transgender,JDQsZhBiWQl
"Transgender, 15+",EXa0DttW6k6
"Transgender, 15+, Died",QSrrMGHyY4o
"Transgender, 15+, Lost to follow up",M9kkhw2ucTi
"Transgender, 15+, Stopped treatment",sDRyfh1GSdM
"Transgender, 15-19",KxztFzCrSUH
"Transgender, 20-24",F6ei9Rn8Ek1
"Transgender, 25+",ezgmZswr0CV
"Transgender, 25+",Zae4PzJYZJq
"Transgender, <15",D6TfWaNhsA4
"Transgender, <15",FIDwe8rE1xY
"Transgender, <15, Died",BOADhPn0w9l
"Transgender, <15, Lost to follow up",PsO1VXAkgdE
"Transgender, <15, Stopped treatment",CzYK6ClbqQf
"Transgender, <25",c8AR2ccpR43
"Transgender, Negative, 15+",gHSxn6576Ji
"Transgender, Negative, <15",Yh0wfU1RRnz
"Transgender, Not documented, 15+",IS3H0CcTXTR
"Transgender, Not documented, <15",xwVwbLB1JZU
"Transgender, Positive, 15+",dizk61y1szq
"Transgender, Positive, <15",X95qEAs6xFf
Unknown,dklllI2x8b3
Unknown,GWG47XKiF5m
VL – Quantitative (Abbott),iSwJ7luuHPU
default,HllvX50cXC0
