"","name","id","code","shortName","description","formName","domainType","valueType","aggregationoperator","fieldMask","categoryCombo.id","class","data","type","Inverse"
"11","[GC7/H-KRCS/CUM_FUNDS_DISB_PR/FINANCE] PR Cumulative Funds Disbursed to PR","AmPHSDGTjDn","GC7/H-KRCS/CUM_FUNDS_DISB_PR/FINANCE","GC7/H-KRCS/CUM_FUNDS_DISB_PR/FINANCE","PR Cumulative Funds Disbursed to PR","NUMBER","AGGREGATE","NUMBER",NA,NA,"bjDvmb4bfuf","Finance",NA,NA,"No"
"12","[GC7/H-KRCS/CUM_FUNDS_DISB_SR/FINANCE] PR Cumulative Funds Disbursed to Sub Recipients","mGNEe6VjWR5","GC7/H-KRCS/CUM_FUNDS_DISB_SR/FINANCE","GC7/H-KRCS/CUM_FUNDS_DISB_SR/FINANCE","PR Cumulative Funds Disbursed to Sub Recipients","NUMBER","AGGREGATE","NUMBER",NA,NA,"bjDvmb4bfuf","Finance",NA,NA,"No"
"13","[GC7/H-KRCS/CUM_SR_BUDGET/FINANCE] PR Cumulative Sub Recipients Budget Amount","QjsH8MgWs8w","GC7/H-KRCS/CUM_SR_BUDGET/FINANCE","GC7/H-KRCS/CUM_SR_BUDGET/FINANCE","PR Cumulative Sub Recipients Budget Amount","NUMBER","AGGREGATE","NUMBER",NA,NA,"bjDvmb4bfuf","Finance",NA,NA,"No"
"14","[GC7/H-KRCS/FIN_NARR/FINANCE] PR Comments","wVD2Rgtx8vb","GC7/H-KRCS/FIN_NARR/FINANCE","GC7/H-KRCS/FIN_NARR/FINANCE","PR Comments","NUMBER","AGGREGATE","LONG_TEXT",NA,NA,"bjDvmb4bfuf","Finance",NA,NA,"No"
"15","[GC7/H-KRCS/FIN_RATING/RATING] PR Financial Rating","dRbbsMsGnIB","GC7/H-KRCS/FIN_RATING/RATING","GC7/H-KRCS/FIN_RATING/RATING","PR Financial Rating","NUMBER","AGGREGATE","TEXT",NA,NA,"bjDvmb4bfuf","Rating",NA,NA,"No"
"16","[GC7/H-KRCS/FIN_RATING_COMMENT/RATING] PR Financial Rating Comments","haHfZViW7IK","GC7/H-KRCS/FIN_RATING_COMMENT/RATING","GC7/H-KRCS/FIN_RATING_COMMENT/RATING","PR Financial Rating Comments","NUMBER","AGGREGATE","LONG_TEXT",NA,NA,"bjDvmb4bfuf","Rating",NA,NA,"No"
"17","[GC7/H-KRCS/FIN_RATING_END/RATING] PR Financial Rating End Date","YNOBFXiUdvJ","GC7/H-KRCS/FIN_RATING_END/RATING","GC7/H-KRCS/FIN_RATING_END/RATING","PR Financial Rating End Date","NUMBER","AGGREGATE","DATE",NA,NA,"bjDvmb4bfuf","Rating",NA,NA,"No"
"18","[GC7/H-KRCS/FIN_RATING_START/RATING] PR Financial Rating Start Date","ZIZwEDU56WP","GC7/H-KRCS/FIN_RATING_START/RATING","GC7/H-KRCS/FIN_RATING_START/RATING","PR Financial Rating Start Date","NUMBER","AGGREGATE","DATE",NA,NA,"bjDvmb4bfuf","Rating",NA,NA,"No"
"19","[GC7/H-KRCS/HIV I-14/COMMENT/IMPACT] # of new HIV infections per 1000 uninfected population","ZRYZFrbQeGx","GC7/H-KRCS/HIV I-14/COMMENT/IMPACT","GC7/H-KRCS/HIV I-14/COMMENT/IMPACT","# of new HIV infections per 1000 uninfected population","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,"Inverse","bjDvmb4bfuf","Program","Comment","Impact","No"
"20","[GC7/H-KRCS/HIV I-14/RESULT/IMPACT] # of new HIV infections per 1000 uninfected population","bnByxyfBc0w","GC7/H-KRCS/HIV I-14/RESULT/IMPACT","GC7/H-KRCS/HIV I-14/RESULT/IMPACT","# of new HIV infections per 1000 uninfected population","NUMBER","AGGREGATE","NUMBER",NA,"Inverse","bjDvmb4bfuf","Program","Result","Impact","No"
"21","[GC7/H-KRCS/HIV I-14/TARGET/IMPACT] # of new HIV infections per 1000 uninfected population","q0HeDFo5bAb","GC7/H-KRCS/HIV I-14/TARGET/IMPACT","GC7/H-KRCS/HIV I-14/TARGET/IMPACT","# of new HIV infections per 1000 uninfected population","NUMBER","AGGREGATE","NUMBER",NA,"Inverse","bjDvmb4bfuf","Program","Target","Impact","No"
"22","[GC7/H-KRCS/HIV I-4/COMMENT/IMPACT] # of AIDS-related deaths per 100,000 population","AytchAc6UeD","GC7/H-KRCS/HIV I-4/COMMENT/IMPACT","GC7/H-KRCS/HIV I-4/COMMENT/IMPACT","# of AIDS-related deaths per 100,000 population","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,"Inverse","bjDvmb4bfuf","Program","Comment","Impact","No"
"23","[GC7/H-KRCS/HIV I-4/RESULT/IMPACT] # of AIDS-related deaths per 100,000 population","GEvuwuun5E0","GC7/H-KRCS/HIV I-4/RESULT/IMPACT","GC7/H-KRCS/HIV I-4/RESULT/IMPACT","# of AIDS-related deaths per 100,000 population","NUMBER","AGGREGATE","NUMBER",NA,"Inverse","bjDvmb4bfuf","Program","Result","Impact","No"
"24","[GC7/H-KRCS/HIV I-4/TARGET/IMPACT] # of AIDS-related deaths per 100,000 population","aqnck5zoQXi","GC7/H-KRCS/HIV I-4/TARGET/IMPACT","GC7/H-KRCS/HIV I-4/TARGET/IMPACT","# of AIDS-related deaths per 100,000 population","NUMBER","AGGREGATE","NUMBER",NA,"Inverse","bjDvmb4bfuf","Program","Target","Impact","No"
"25","[GC7/H-KRCS/HIV I-6/COMMENT/IMPACT] Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months","DDd0Tsd9Iuw","GC7/H-KRCS/HIV I-6/COMMENT/IMPACT","GC7/H-KRCS/HIV I-6/COMMENT/IMPACT","Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,"Inverse","bjDvmb4bfuf","Program","Comment","Impact","No"
"26","[GC7/H-KRCS/HIV I-6/RESULT/IMPACT] Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months","EfaXi5S7haT","GC7/H-KRCS/HIV I-6/RESULT/IMPACT","GC7/H-KRCS/HIV I-6/RESULT/IMPACT","Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Result","Impact","No"
"27","[GC7/H-KRCS/HIV I-6/TARGET/IMPACT] Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months","afLjVULlKYU","GC7/H-KRCS/HIV I-6/TARGET/IMPACT","GC7/H-KRCS/HIV I-6/TARGET/IMPACT","Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Target","Impact","No"
"28","[GC7/H-KRCS/HIV O-10/COMMENT/OUTCOME] % of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.","xmSRBHkrVIQ","GC7/H-KRCS/HIV O-10/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-10/COMMENT/OUTCOME","% of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,NA,"bjDvmb4bfuf","Program","Comment","Outcome","No"
"29","[GC7/H-KRCS/HIV O-10/RESULT/OUTCOME] % of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.","Dlhl9uhmbzk","GC7/H-KRCS/HIV O-10/RESULT/OUTCOME","GC7/H-KRCS/HIV O-10/RESULT/OUTCOME","% of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.","NUMBER","AGGREGATE","PERCENTAGE",NA,NA,"bjDvmb4bfuf","Program","Result","Outcome","No"
"30","[GC7/H-KRCS/HIV O-10/TARGET/OUTCOME] % of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.","Qi8iqiQ9jYC","GC7/H-KRCS/HIV O-10/TARGET/OUTCOME","GC7/H-KRCS/HIV O-10/TARGET/OUTCOME","% of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.","NUMBER","AGGREGATE","PERCENTAGE",NA,NA,"bjDvmb4bfuf","Program","Target","Outcome","No"
"31","[GC7/H-KRCS/HIV O-16a/COMMENT/OUTCOME] % of men who have sex with men who avoid health care because of stigma and discrimination","H52SVtyNeBT","GC7/H-KRCS/HIV O-16a/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-16a/COMMENT/OUTCOME","% of men who have sex with men who avoid health care because of stigma and discrimination","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,"Inverse","bjDvmb4bfuf","Program","Comment","Outcome","No"
"32","[GC7/H-KRCS/HIV O-16a/RESULT/OUTCOME] % of men who have sex with men who avoid health care because of stigma and discrimination","CB9DBJCpZj8","GC7/H-KRCS/HIV O-16a/RESULT/OUTCOME","GC7/H-KRCS/HIV O-16a/RESULT/OUTCOME","% of men who have sex with men who avoid health care because of stigma and discrimination","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Result","Outcome","No"
"33","[GC7/H-KRCS/HIV O-16a/TARGET/OUTCOME] % of men who have sex with men who avoid health care because of stigma and discrimination","qnxX3q8y8PB","GC7/H-KRCS/HIV O-16a/TARGET/OUTCOME","GC7/H-KRCS/HIV O-16a/TARGET/OUTCOME","% of men who have sex with men who avoid health care because of stigma and discrimination","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Target","Outcome","No"
"34","[GC7/H-KRCS/HIV O-16c/COMMENT/OUTCOME] % of sex workers who avoid health care because of stigma and discrimination","dJwScqKA9qn","GC7/H-KRCS/HIV O-16c/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-16c/COMMENT/OUTCOME","% of sex workers who avoid health care because of stigma and discrimination","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,"Inverse","bjDvmb4bfuf","Program","Comment","Outcome","No"
"35","[GC7/H-KRCS/HIV O-16c/RESULT/OUTCOME] % of sex workers who avoid health care because of stigma and discrimination","CH0NaaedrzY","GC7/H-KRCS/HIV O-16c/RESULT/OUTCOME","GC7/H-KRCS/HIV O-16c/RESULT/OUTCOME","% of sex workers who avoid health care because of stigma and discrimination","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Result","Outcome","No"
"36","[GC7/H-KRCS/HIV O-16c/TARGET/OUTCOME] % of sex workers who avoid health care because of stigma and discrimination","QhclDuIGEAi","GC7/H-KRCS/HIV O-16c/TARGET/OUTCOME","GC7/H-KRCS/HIV O-16c/TARGET/OUTCOME","% of sex workers who avoid health care because of stigma and discrimination","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Target","Outcome","No"
"37","[GC7/H-KRCS/HIV O-25/COMMENT/OUTCOME] Percentage of law enforcement officers who report negative attitudes towards key populations","aAXhCN22euf","GC7/H-KRCS/HIV O-25/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-25/COMMENT/OUTCOME","Percentage of law enforcement officers who report negative attitudes towards key populations","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,"Inverse","bjDvmb4bfuf","Program","Comment","Outcome","No"
"38","[GC7/H-KRCS/HIV O-25/RESULT/OUTCOME] Percentage of law enforcement officers who report negative attitudes towards key populations","rHSMkJswsah","GC7/H-KRCS/HIV O-25/RESULT/OUTCOME","GC7/H-KRCS/HIV O-25/RESULT/OUTCOME","Percentage of law enforcement officers who report negative attitudes towards key populations","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Result","Outcome","No"
"39","[GC7/H-KRCS/HIV O-25/TARGET/OUTCOME] Percentage of law enforcement officers who report negative attitudes towards key populations","F8NhKhwDcHG","GC7/H-KRCS/HIV O-25/TARGET/OUTCOME","GC7/H-KRCS/HIV O-25/TARGET/OUTCOME","Percentage of law enforcement officers who report negative attitudes towards key populations","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Target","Outcome","No"
"40","[GC7/H-KRCS/HIV O-26/COMMENT/OUTCOME] % of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.","aU9MOwO06iv","GC7/H-KRCS/HIV O-26/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-26/COMMENT/OUTCOME","% of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,"Inverse","bjDvmb4bfuf","Program","Comment","Outcome","No"
"41","[GC7/H-KRCS/HIV O-26/RESULT/OUTCOME] % of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.","gxgheNfr5F3","GC7/H-KRCS/HIV O-26/RESULT/OUTCOME","GC7/H-KRCS/HIV O-26/RESULT/OUTCOME","% of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Result","Outcome","No"
"42","[GC7/H-KRCS/HIV O-26/TARGET/OUTCOME] % of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.","dmG7pLXYpFx","GC7/H-KRCS/HIV O-26/TARGET/OUTCOME","GC7/H-KRCS/HIV O-26/TARGET/OUTCOME","% of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Target","Outcome","No"
"43","[GC7/H-KRCS/HIV O-28c/COMMENT/OUTCOME] Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months","GlzXCBzogiE","GC7/H-KRCS/HIV O-28c/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-28c/COMMENT/OUTCOME","Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,"Inverse","bjDvmb4bfuf","Program","Comment","Outcome","No"
"44","[GC7/H-KRCS/HIV O-28c/RESULT/OUTCOME] Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months","ZeWxyGoA6J1","GC7/H-KRCS/HIV O-28c/RESULT/OUTCOME","GC7/H-KRCS/HIV O-28c/RESULT/OUTCOME","Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Result","Outcome","No"
"45","[GC7/H-KRCS/HIV O-28c/TARGET/OUTCOME] Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months","Dyw3bMhLzn2","GC7/H-KRCS/HIV O-28c/TARGET/OUTCOME","GC7/H-KRCS/HIV O-28c/TARGET/OUTCOME","Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Target","Outcome","No"
"46","[GC7/H-KRCS/HIV O-28d/COMMENT/OUTCOME] % of people who inject drugs who report having experienced stigma and discrimination in the last 6 months","nYgh57yuGCP","GC7/H-KRCS/HIV O-28d/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-28d/COMMENT/OUTCOME","% of people who inject drugs who report having experienced stigma and discrimination in the last 6 months","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,"Inverse","bjDvmb4bfuf","Program","Comment","Outcome","No"
"47","[GC7/H-KRCS/HIV O-28d/RESULT/OUTCOME] % of people who inject drugs who report having experienced stigma and discrimination in the last 6 months","mWYmNUY99jy","GC7/H-KRCS/HIV O-28d/RESULT/OUTCOME","GC7/H-KRCS/HIV O-28d/RESULT/OUTCOME","% of people who inject drugs who report having experienced stigma and discrimination in the last 6 months","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Result","Outcome","No"
"48","[GC7/H-KRCS/HIV O-28d/TARGET/OUTCOME] % of people who inject drugs who report having experienced stigma and discrimination in the last 6 months","RdAEXoHeNKb","GC7/H-KRCS/HIV O-28d/TARGET/OUTCOME","GC7/H-KRCS/HIV O-28d/TARGET/OUTCOME","% of people who inject drugs who report having experienced stigma and discrimination in the last 6 months","NUMBER","AGGREGATE","PERCENTAGE",NA,"Inverse","bjDvmb4bfuf","Program","Target","Outcome","No"
"49","[GC7/H-KRCS/HIV O-4.1b/COMMENT/OUTCOME] Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex","BhaqeLMrLlp","GC7/H-KRCS/HIV O-4.1b/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-4.1b/COMMENT/OUTCOME","Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,NA,"bjDvmb4bfuf","Program","Comment","Outcome","No"
"50","[GC7/H-KRCS/HIV O-4.1b/RESULT/OUTCOME] Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex","OHfQ6c5QMmy","GC7/H-KRCS/HIV O-4.1b/RESULT/OUTCOME","GC7/H-KRCS/HIV O-4.1b/RESULT/OUTCOME","Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex","NUMBER","AGGREGATE","PERCENTAGE",NA,NA,"bjDvmb4bfuf","Program","Result","Outcome","No"
"51","[GC7/H-KRCS/HIV O-4.1b/TARGET/OUTCOME] Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex","WPNxH8BjA4q","GC7/H-KRCS/HIV O-4.1b/TARGET/OUTCOME","GC7/H-KRCS/HIV O-4.1b/TARGET/OUTCOME","Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex","NUMBER","AGGREGATE","PERCENTAGE",NA,NA,"bjDvmb4bfuf","Program","Target","Outcome","No"
"52","[GC7/H-KRCS/HIV O-4a/COMMENT/OUTCOME] % of men reporting using a condom the last time they had anal sex with a male partner","WO63HpNGWgX","GC7/H-KRCS/HIV O-4a/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-4a/COMMENT/OUTCOME","% of men reporting using a condom the last time they had anal sex with a male partner","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,NA,"bjDvmb4bfuf","Program","Comment","Outcome","No"
"53","[GC7/H-KRCS/HIV O-4a/RESULT/OUTCOME] % of men reporting using a condom the last time they had anal sex with a male partner","qO7m9jwFFFW","GC7/H-KRCS/HIV O-4a/RESULT/OUTCOME","GC7/H-KRCS/HIV O-4a/RESULT/OUTCOME","% of men reporting using a condom the last time they had anal sex with a male partner","NUMBER","AGGREGATE","PERCENTAGE",NA,NA,"bjDvmb4bfuf","Program","Result","Outcome","No"
"54","[GC7/H-KRCS/HIV O-4a/TARGET/OUTCOME] % of men reporting using a condom the last time they had anal sex with a male partner","Bnurhnf7jQh","GC7/H-KRCS/HIV O-4a/TARGET/OUTCOME","GC7/H-KRCS/HIV O-4a/TARGET/OUTCOME","% of men reporting using a condom the last time they had anal sex with a male partner","NUMBER","AGGREGATE","PERCENTAGE",NA,NA,"bjDvmb4bfuf","Program","Target","Outcome","No"
"55","[GC7/H-KRCS/HIV O-5/COMMENT/OUTCOME] % of sex workers reporting using a condom with their most recent client","nArr4xbTPxP","GC7/H-KRCS/HIV O-5/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-5/COMMENT/OUTCOME","% of sex workers reporting using a condom with their most recent client","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,NA,"bjDvmb4bfuf","Program","Comment","Outcome","No"
"56","[GC7/H-KRCS/HIV O-5/RESULT/OUTCOME] % of sex workers reporting using a condom with their most recent client","GCLH1jdB1of","GC7/H-KRCS/HIV O-5/RESULT/OUTCOME","GC7/H-KRCS/HIV O-5/RESULT/OUTCOME","% of sex workers reporting using a condom with their most recent client","NUMBER","AGGREGATE","PERCENTAGE",NA,NA,"bjDvmb4bfuf","Program","Result","Outcome","No"
"57","[GC7/H-KRCS/HIV O-5/TARGET/OUTCOME] % of sex workers reporting using a condom with their most recent client","h5jm6EuuSie","GC7/H-KRCS/HIV O-5/TARGET/OUTCOME","GC7/H-KRCS/HIV O-5/TARGET/OUTCOME","% of sex workers reporting using a condom with their most recent client","NUMBER","AGGREGATE","PERCENTAGE",NA,NA,"bjDvmb4bfuf","Program","Target","Outcome","No"
"58","[GC7/H-KRCS/HIV O-6/COMMENT/OUTCOME] Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected","jAsPpcpSq1F","GC7/H-KRCS/HIV O-6/COMMENT/OUTCOME","GC7/H-KRCS/HIV O-6/COMMENT/OUTCOME","Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,NA,"bjDvmb4bfuf","Program","Comment","Outcome","No"
"59","[GC7/H-KRCS/HIV O-6/RESULT/OUTCOME] Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected","jhw0Ve3DYnS","GC7/H-KRCS/HIV O-6/RESULT/OUTCOME","GC7/H-KRCS/HIV O-6/RESULT/OUTCOME","Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected","NUMBER","AGGREGATE","PERCENTAGE",NA,NA,"bjDvmb4bfuf","Program","Result","Outcome","No"
"60","[GC7/H-KRCS/HIV O-6/TARGET/OUTCOME] Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected","nOXfGTqBZLy","GC7/H-KRCS/HIV O-6/TARGET/OUTCOME","GC7/H-KRCS/HIV O-6/TARGET/OUTCOME","Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected","NUMBER","AGGREGATE","PERCENTAGE",NA,NA,"bjDvmb4bfuf","Program","Target","Outcome","No"
"61","[GC7/H-KRCS/HTS-2/COMMENT/COVERAGE] % of high risk AGYW that have received an HIV test during the reporting period in AGYW programs","t6A9lBDfceo","GC7/H-KRCS/HTS-2/COMMENT/COVERAGE","GC7/H-KRCS/HTS-2/COMMENT/COVERAGE","% of high risk AGYW that have received an HIV test during the reporting period in AGYW programs","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,NA,"bjDvmb4bfuf","Program","Comment","Coverage","No"
"62","[GC7/H-KRCS/HTS-2/RESULT/COVERAGE] % of high risk AGYW that have received an HIV test during the reporting period in AGYW programs","HtZHkowHuub","GC7/H-KRCS/HTS-2/RESULT/COVERAGE","GC7/H-KRCS/HTS-2/RESULT/COVERAGE","% of high risk AGYW that have received an HIV test during the reporting period in AGYW programs","NUMBER","AGGREGATE","NUMBER",NA,NA,"bjDvmb4bfuf","Program","Result","Coverage","No"
"63","[GC7/H-KRCS/HTS-2/TARGET/COVERAGE] % of high risk AGYW that have received an HIV test during the reporting period in AGYW programs","G3zciiC4C1b","GC7/H-KRCS/HTS-2/TARGET/COVERAGE","GC7/H-KRCS/HTS-2/TARGET/COVERAGE","% of high risk AGYW that have received an HIV test during the reporting period in AGYW programs","NUMBER","AGGREGATE","NUMBER",NA,NA,"bjDvmb4bfuf","Program","Target","Coverage","No"
"64","[GC7/H-KRCS/HTS-3a/COMMENT/COVERAGE] % of MSM that have received an HIV test during the reporting period in KP-specific programs and know their results","NYSeHOxc1QJ","GC7/H-KRCS/HTS-3a/COMMENT/COVERAGE","GC7/H-KRCS/HTS-3a/COMMENT/COVERAGE","% of MSM that have received an HIV test during the reporting period in KP-specific programs and know their results","LONG_TEXT","AGGREGATE","LONG_TEXT",NA,NA,"bjDvmb4bfuf","Program","Comment","Coverage","No"
