name,id,code,shortName,description,formName,domainType,valueType
[GC7/T-AMREF/RSSH/PSEAH-SR/RES_PSEAH] % of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,,GC7/T-AMREF/RSSH/PSEAH-SR/RES_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-SR/RES_PSEAH/COVERAGE,% of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,PERCENTAGE,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/PSEAH-SR/TAR_PSEAH] % of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,,GC7/T-AMREF/RSSH/PSEAH-SR/TAR_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-SR/TAR_PSEAH/COVERAGE,% of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,PERCENTAGE,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/PSEAH-ZT/COMM_PSEAH] % of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,,GC7/T-AMREF/RSSH/PSEAH-ZT/COMM_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-ZT/COMM_PSEAH/COVERAGE,% of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/PSEAH-ZT/RES_PSEAH] % of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,,GC7/T-AMREF/RSSH/PSEAH-ZT/RES_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-ZT/RES_PSEAH/COVERAGE,% of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,PERCENTAGE,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/PSEAH-ZT/TAR_PSEAH] % of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,,GC7/T-AMREF/RSSH/PSEAH-ZT/TAR_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-ZT/TAR_PSEAH/COVERAGE,% of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,PERCENTAGE,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/SAVINGS/FINANCE] PR Savings,,GC7/T-AMREF/RSSH/SAVINGS/FINANCE,GC7/T-AMREF/RSSH/SAVINGS/FINANCE,PR Savings,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-CSS-3/COMMENT/COVERAGE] Percentage of health service delivery sites with a community-led monitoring mechanism in place,,GC7/T-AMREF/RSSH/COMMENT/TB-CSS-3/COMMENT/COVERAGE,GC7/T-AMREF/RSSH/COMMENT/TB-CSS-3/COMMENT/COVERAGE,Percentage of health service delivery sites with a community-led monitoring mechanism in place,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/TB-CSS-3/RESULT/COVERAGE] Percentage of health service delivery sites with a community-led monitoring mechanism in place,,GC7/T-AMREF/RSSH/RESULT/TB-CSS-3/RESULT/COVERAGE,GC7/T-AMREF/RSSH/RESULT/TB-CSS-3/RESULT/COVERAGE,Percentage of health service delivery sites with a community-led monitoring mechanism in place,NUMBER,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/TB-CSS-3/TARGET/COVERAGE] Percentage of health service delivery sites with a community-led monitoring mechanism in place,,GC7/T-AMREF/RSSH/TARGET/TB-CSS-3/TARGET/COVERAGE,GC7/T-AMREF/RSSH/TARGET/TB-CSS-3/TARGET/COVERAGE,Percentage of health service delivery sites with a community-led monitoring mechanism in place,NUMBER,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/TB-DRTB-MSS/COMMENT/COVERAGE] Number of DRTB Patients provided with  Monthly social support during treatment over the grant implementation period,,GC7/T-AMREF/RSSH/COMMENT/TB-DRTB-MSS/COMMENT/COVERAGE,GC7/T-AMREF/RSSH/COMMENT/TB-DRTB-MSS/COMMENT/COVERAGE,Number of DRTB Patients provided with  Monthly social support during treatment over the grant implementation period,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/TB-DRTB-MSS/RESULT/COVERAGE] Number of DRTB Patients provided with  Monthly social support during treatment over the grant implementation period,,GC7/T-AMREF/RSSH/RESULT/TB-DRTB-MSS/RESULT/COVERAGE,GC7/T-AMREF/RSSH/RESULT/TB-DRTB-MSS/RESULT/COVERAGE,Number of DRTB Patients provided with  Monthly social support during treatment over the grant implementation period,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-DRTB-MSS/TARGET/COVERAGE] Number of DRTB Patients provided with  Monthly social support during treatment over the grant implementation period,,GC7/T-AMREF/RSSH/TARGET/TB-DRTB-MSS/TARGET/COVERAGE,GC7/T-AMREF/RSSH/TARGET/TB-DRTB-MSS/TARGET/COVERAGE,Number of DRTB Patients provided with  Monthly social support during treatment over the grant implementation period,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-HUB-TEST/COMMENT/COVERAGE] Number of Integrated samples Transported to the hubs for testing ,,GC7/T-AMREF/RSSH/COMMENT/TB-HUB-TEST/COMMENT/COVERAGE,GC7/T-AMREF/RSSH/COMMENT/TB-HUB-TEST/COMMENT/COVERAGE,Number of Integrated samples Transported to the hubs for testing ,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/TB-HUB-TEST/RESULT/COVERAGE] Number of Integrated samples Transported to the hubs for testing ,,GC7/T-AMREF/RSSH/RESULT/TB-HUB-TEST/RESULT/COVERAGE,GC7/T-AMREF/RSSH/RESULT/TB-HUB-TEST/RESULT/COVERAGE,Number of Integrated samples Transported to the hubs for testing ,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-HUB-TEST/TARGET/COVERAGE] Number of Integrated samples Transported to the hubs for testing ,,GC7/T-AMREF/RSSH/TARGET/TB-HUB-TEST/TARGET/COVERAGE,GC7/T-AMREF/RSSH/TARGET/TB-HUB-TEST/TARGET/COVERAGE,Number of Integrated samples Transported to the hubs for testing ,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-INDEX-HHS/COMMENT/COVERAGE] Households visited for contact screening by CHVs,,GC7/T-AMREF/RSSH/COMMENT/TB-INDEX-HHS/COMMENT/COVERAGE,GC7/T-AMREF/RSSH/COMMENT/TB-INDEX-HHS/COMMENT/COVERAGE,Households visited for contact screening by CHVs,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/TB-INDEX-HHS/RESULT/COVERAGE] Households visited for contact screening by CHVs,,GC7/T-AMREF/RSSH/RESULT/TB-INDEX-HHS/RESULT/COVERAGE,GC7/T-AMREF/RSSH/RESULT/TB-INDEX-HHS/RESULT/COVERAGE,Households visited for contact screening by CHVs,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-INDEX-HHS/TARGET/COVERAGE] Households visited for contact screening by CHVs,,GC7/T-AMREF/RSSH/TARGET/TB-INDEX-HHS/TARGET/COVERAGE,GC7/T-AMREF/RSSH/TARGET/TB-INDEX-HHS/TARGET/COVERAGE,Households visited for contact screening by CHVs,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-KVP/COMMENT/COVERAGE] Number of TB cases notified from the targeted outreaches conducted in the reporting period,,GC7/T-AMREF/RSSH/COMMENT/TB-KVP/COMMENT/COVERAGE,GC7/T-AMREF/RSSH/COMMENT/TB-KVP/COMMENT/COVERAGE,Number of TB cases notified from the targeted outreaches conducted in the reporting period,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/TB-KVP/RESULT/COVERAGE] Number of TB cases notified from the targeted outreaches conducted in the reporting period,,GC7/T-AMREF/RSSH/RESULT/TB-KVP/RESULT/COVERAGE,GC7/T-AMREF/RSSH/RESULT/TB-KVP/RESULT/COVERAGE,Number of TB cases notified from the targeted outreaches conducted in the reporting period,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-KVP/TARGET/COVERAGE] Number of TB cases notified from the targeted outreaches conducted in the reporting period,,GC7/T-AMREF/RSSH/TARGET/TB-KVP/TARGET/COVERAGE,GC7/T-AMREF/RSSH/TARGET/TB-KVP/TARGET/COVERAGE,Number of TB cases notified from the targeted outreaches conducted in the reporting period,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-REFER/COMMENT/COVERAGE] Number of contacts  referred to health facilities for TB services,,GC7/T-AMREF/RSSH/COMMENT/TB-REFER/COMMENT/COVERAGE,GC7/T-AMREF/RSSH/COMMENT/TB-REFER/COMMENT/COVERAGE,Number of contacts  referred to health facilities for TB services,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/TB-REFER/RESULT/COVERAGE] Number of contacts  referred to health facilities for TB services,,GC7/T-AMREF/RSSH/RESULT/TB-REFER/RESULT/COVERAGE,GC7/T-AMREF/RSSH/RESULT/TB-REFER/RESULT/COVERAGE,Number of contacts  referred to health facilities for TB services,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-REFER/TARGET/COVERAGE] Number of contacts  referred to health facilities for TB services,,GC7/T-AMREF/RSSH/TARGET/TB-REFER/TARGET/COVERAGE,GC7/T-AMREF/RSSH/TARGET/TB-REFER/TARGET/COVERAGE,Number of contacts  referred to health facilities for TB services,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-SCREEN/COMMENT/COVERAGE] Number of contacts of identified index TB patients screened  for TB,,GC7/T-AMREF/RSSH/COMMENT/TB-SCREEN/COMMENT/COVERAGE,GC7/T-AMREF/RSSH/COMMENT/TB-SCREEN/COMMENT/COVERAGE,Number of contacts of identified index TB patients screened  for TB,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/TB-SCREEN/RESULT/COVERAGE] Number of contacts of identified index TB patients screened  for TB,,GC7/T-AMREF/RSSH/RESULT/TB-SCREEN/RESULT/COVERAGE,GC7/T-AMREF/RSSH/RESULT/TB-SCREEN/RESULT/COVERAGE,Number of contacts of identified index TB patients screened  for TB,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB-SCREEN/TARGET/COVERAGE] Number of contacts of identified index TB patients screened  for TB,,GC7/T-AMREF/RSSH/TARGET/TB-SCREEN/TARGET/COVERAGE,GC7/T-AMREF/RSSH/TARGET/TB-SCREEN/TARGET/COVERAGE,Number of contacts of identified index TB patients screened  for TB,NUMBER,AGGREGATE,NUMBER
"[GC7/T-AMREF/RSSH/TBDT-3c/COMMENT/COVERAGE] Percentage of notified patients with all forms of TB (i.e., bacteriologically confirmed + clinically diagnosed) contributed by non-national TB program providers",,GC7/T-AMREF/RSSH/COMMENT/TBDT-3c/COMMENT/COVERAGE,GC7/T-AMREF/RSSH/COMMENT/TBDT-3c/COMMENT/COVERAGE,"Percentage of notified patients with all forms of TB (i.e., bacteriologically confirmed + clinically diagnosed) contributed by non-national TB program providers",LONG_TEXT,AGGREGATE,LONG_TEXT
"[GC7/T-AMREF/RSSH/TBDT-3c/RESULT/COVERAGE] Percentage of notified patients with all forms of TB (i.e., bacteriologically confirmed + clinically diagnosed) contributed by non-national TB program providers",,GC7/T-AMREF/RSSH/RESULT/TBDT-3c/RESULT/COVERAGE,GC7/T-AMREF/RSSH/RESULT/TBDT-3c/RESULT/COVERAGE,"Percentage of notified patients with all forms of TB (i.e., bacteriologically confirmed + clinically diagnosed) contributed by non-national TB program providers",NUMBER,AGGREGATE,PERCENTAGE
"[GC7/T-AMREF/RSSH/TBDT-3c/TARGET/COVERAGE] Percentage of notified patients with all forms of TB (i.e., bacteriologically confirmed + clinically diagnosed) contributed by non-national TB program providers",,GC7/T-AMREF/RSSH/TARGET/TBDT-3c/TARGET/COVERAGE,GC7/T-AMREF/RSSH/TARGET/TBDT-3c/TARGET/COVERAGE,"Percentage of notified patients with all forms of TB (i.e., bacteriologically confirmed + clinically diagnosed) contributed by non-national TB program providers",NUMBER,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/TBP-1/COMMENT/COVERAGE] Number of people in contact with TB patients who began preventive therapy,,GC7/T-AMREF/RSSH/COMMENT/TBP-1/COMMENT/COVERAGE,GC7/T-AMREF/RSSH/COMMENT/TBP-1/COMMENT/COVERAGE,Number of people in contact with TB patients who began preventive therapy,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/TBP-1/RESULT/COVERAGE] Number of people in contact with TB patients who began preventive therapy,,GC7/T-AMREF/RSSH/RESULT/TBP-1/RESULT/COVERAGE,GC7/T-AMREF/RSSH/RESULT/TBP-1/RESULT/COVERAGE,Number of people in contact with TB patients who began preventive therapy,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TBP-1/TARGET/COVERAGE] Number of people in contact with TB patients who began preventive therapy,,GC7/T-AMREF/RSSH/TARGET/TBP-1/TARGET/COVERAGE,GC7/T-AMREF/RSSH/TARGET/TBP-1/TARGET/COVERAGE,Number of people in contact with TB patients who began preventive therapy,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TB_RTC/COMMENT/COVERAGE] Proportion of Treatment interrupters traced & referred back,,GC7/T-AMREF/RSSH/COMMENT/TB_RTC/COMMENT/COVERAGE,GC7/T-AMREF/RSSH/COMMENT/TB_RTC/COMMENT/COVERAGE,Proportion of Treatment interrupters traced & referred back,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/TB_RTC/RESULT/COVERAGE] Proportion of Treatment interrupters traced & referred back,,GC7/T-AMREF/RSSH/RESULT/TB_RTC/RESULT/COVERAGE,GC7/T-AMREF/RSSH/RESULT/TB_RTC/RESULT/COVERAGE,Proportion of Treatment interrupters traced & referred back,NUMBER,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/TB_RTC/TARGET/COVERAGE] Proportion of Treatment interrupters traced & referred back,,GC7/T-AMREF/RSSH/TARGET/TB_RTC/TARGET/COVERAGE,GC7/T-AMREF/RSSH/TARGET/TB_RTC/TARGET/COVERAGE,Proportion of Treatment interrupters traced & referred back,NUMBER,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/TOTAL_BUDGET/FINANCE] PR Total Budget,,GC7/T-AMREF/RSSH/TOTAL_BUDGET/FINANCE,GC7/T-AMREF/RSSH/TOTAL_BUDGET/FINANCE,PR Total Budget,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/TOTAL_SR_BUDGET/FINANCE] PR Total Sub Recipients Budget Amount,,GC7/T-AMREF/RSSH/TOTAL_SR_BUDGET/FINANCE,GC7/T-AMREF/RSSH/TOTAL_SR_BUDGET/FINANCE,PR Total Sub Recipients Budget Amount,NUMBER,AGGREGATE,NUMBER
